Date,kWh,Peak_Demand_kW,Temperature_C,Notes
2026-05-01,845.2,45.2,32.5,Normal weekday operations
2026-05-02,860.8,46.1,33.0,Normal weekday operations
2026-05-03,822.4,43.5,31.2,Normal weekday operations - cloud cover
2026-05-04,395.1,18.4,30.0,Weekend - low load operations
2026-05-05,370.6,17.2,29.5,Weekend - low load operations
2026-05-06,855.9,45.8,33.5,Normal weekday operations
2026-05-07,872.4,47.0,34.0,Normal weekday operations - high temp
2026-05-08,890.1,48.2,35.5,Weekday - peak temperature cooling load
2026-05-09,840.3,44.9,32.0,Normal weekday operations
2026-05-10,835.7,44.1,31.5,Normal weekday operations
2026-05-11,402.8,18.9,30.2,Weekend - low load operations
2026-05-12,380.2,17.8,29.8,Weekend - low load operations
2026-05-13,865.4,46.3,34.2,Normal weekday operations
2026-05-14,880.0,47.5,35.0,Weekday - heavy industrial demand
2026-05-15,815.3,42.8,30.5,Weekday - heavy rainfall event
2026-05-16,842.9,44.6,32.1,Normal weekday operations
2026-05-17,850.5,45.0,32.4,Normal weekday operations
2026-05-18,390.6,18.1,29.6,Weekend - low load operations
2026-05-19,382.4,17.5,29.2,Weekend - low load operations
2026-05-20,862.1,46.0,33.8,Normal weekday operations
2026-05-21,878.7,47.2,34.7,Normal weekday operations
2026-05-22,895.3,48.5,36.2,Weekday - high temp HVAC peak load
2026-05-23,858.2,45.5,33.0,Normal weekday operations
2026-05-24,849.0,44.8,32.5,Normal weekday operations
2026-05-25,410.5,19.2,30.5,Weekend - low load operations
2026-05-26,385.9,18.0,29.9,Weekend - low load operations
2026-05-27,870.4,46.8,34.0,Normal weekday operations
2026-05-28,885.2,47.9,35.2,Normal weekday operations
2026-05-29,850.1,45.2,32.8,Normal weekday operations
2026-05-30,838.6,44.2,31.9,Normal weekday operations
